,lt_bond,rrr
02-2008,3.74,5
03-2008,3.51,5
04-2008,3.68,5
05-2008,3.88,5
06-2008,4.1,5.25
07-2008,4.01,5.75
08-2008,3.89,6
09-2008,3.69,6
10-2008,3.81,6
11-2008,3.53,6
12-2008,2.42,5.5
01-2009,2.52,5
02-2009,2.87,5
03-2009,2.82,4.75
04-2009,2.93,4.5
05-2009,3.29,4.25
06-2009,3.72,4.25
07-2009,3.56,4
08-2009,3.59,4
09-2009,3.4,4
10-2009,3.39,4
11-2009,3.4,4
12-2009,3.59,4
01-2010,3.73,4
02-2010,3.69,4
03-2010,3.73,4
04-2010,3.85,4
05-2010,3.42,4
06-2010,3.2,4
07-2010,3.01,4
08-2010,2.7,4
09-2010,2.65,4
10-2010,2.54,4
11-2010,2.76,4
12-2010,3.29,4
01-2011,3.39,4
02-2011,3.58,4
03-2011,3.41,4.25
04-2011,3.46,4.25
05-2011,3.17,4.5
06-2011,3,4.5
07-2011,3,4.5
08-2011,2.3,4.5
09-2011,1.98,4.5
10-2011,2.15,4.5
11-2011,2.01,4.5
12-2011,1.98,4.5
01-2012,1.97,4.25
02-2012,1.97,4.25
03-2012,2.17,4
04-2012,2.05,4
05-2012,1.8,4
06-2012,1.62,4
07-2012,1.53,3.75
08-2012,1.68,3.75
09-2012,1.72,3.75
10-2012,1.75,3.5
11-2012,1.65,3.5
12-2012,1.72,3.5
01-2013,1.91,3.5
02-2013,1.98,3.5
03-2013,1.96,3.5
04-2013,1.76,3.5
05-2013,1.93,3.5
06-2013,2.3,3.5
07-2013,2.58,3.5
08-2013,2.74,3.5
09-2013,2.81,3.5
10-2013,2.62,3.5
11-2013,2.72,3.5
12-2013,2.9,3.5
01-2014,2.86,3.5
02-2014,2.71,3.5
03-2014,2.72,3.5
04-2014,2.71,3.5
05-2014,2.56,3.5
06-2014,2.6,3.5
07-2014,2.54,3.75
08-2014,2.42,3.75
09-2014,2.53,4
10-2014,2.3,4
11-2014,2.33,4
12-2014,2.21,4
01-2015,1.88,4
02-2015,1.98,4
03-2015,2.04,4
04-2015,1.94,4
05-2015,2.2,4
06-2015,2.36,4
07-2015,2.32,4
08-2015,2.17,4
09-2015,2.17,4
10-2015,2.07,4
11-2015,2.26,4
12-2015,2.24,4
01-2016,2.09,4
02-2016,1.78,4
03-2016,1.89,4
04-2016,1.81,4
05-2016,1.81,4
06-2016,1.64,3
07-2016,1.5,3
08-2016,1.56,3
09-2016,1.63,3
10-2016,1.76,3
11-2016,2.14,3
12-2016,2.49,3
01-2017,2.43,3
02-2017,2.42,3
03-2017,2.48,3
04-2017,2.3,3
05-2017,2.3,3
06-2017,2.19,3
07-2017,2.32,3
08-2017,2.21,3
09-2017,2.2,3
10-2017,2.36,3
11-2017,2.35,3
12-2017,2.4,3
01-2018,2.58,3
02-2018,2.86,3
03-2018,2.84,3
04-2018,2.87,3
05-2018,2.98,3.25
06-2018,2.91,3.5
07-2018,2.89,3.5
08-2018,2.89,4
09-2018,3,4.5
10-2018,3.15,4.5
11-2018,3.12,4.75
12-2018,2.83,4.75
01-2019,2.71,4.75
02-2019,2.68,4.75
03-2019,2.57,4.75
04-2019,2.53,4.75
05-2019,2.4,4.5
06-2019,2.07,4.5
07-2019,2.06,4.5
08-2019,1.63,4.25
09-2019,1.7,4
10-2019,1.71,4
11-2019,1.81,4
12-2019,1.86,4
01-2020,1.76,4
